,wvrn_acc,wvrn_std,ratio,nlb_acc,nlb_std,dataset,features
0,0.575310298557531,0.014639362942236963,0.1,0.24823884602482396,0.07837488044572244,citeseer,netkit
1,0.6192075471698113,0.010476484825856228,0.2,0.34456603773584904,0.07557465723446558,citeseer,netkit
2,0.6497842968075926,0.007326291532477588,0.30000000000000004,0.4274805867126834,0.07324412863876098,citeseer,netkit
3,0.6727226975339708,0.008398081334562496,0.4,0.6263714141922497,0.03061022166722385,citeseer,netkit
4,0.6818236714975845,0.0078757482316247,0.5,0.6699879227053139,0.011692924057747236,citeseer,netkit
5,0.7051320754716981,0.011318238714123742,0.6,0.6889056603773585,0.011311246880894864,citeseer,netkit
6,0.7092555331991952,0.006588491852578299,0.7000000000000001,0.7125754527162977,0.006774475215936689,citeseer,netkit
7,0.7188821752265862,0.01643142274907436,0.8,0.7102719033232627,0.01610964219009525,citeseer,netkit
8,0.7293051359516617,0.0214669286517208,0.9,0.7492447129909364,0.018126888217522653,citeseer,netkit
0,0.7853098071399259,0.00791861643534113,0.1,0.2530160032827246,0.11454525864286802,cora,netkit
1,0.8145891043397968,0.00818447275397468,0.2,0.3582179132040627,0.10220022409352343,cora,netkit
2,0.8262130801687764,0.008577772134646923,0.30000000000000004,0.4765295358649789,0.15612690395270692,cora,netkit
3,0.8379076923076922,0.006896701895936941,0.4,0.6579692307692308,0.12856279953928368,cora,netkit
4,0.8403249630723781,0.0062648907355657545,0.5,0.8119645494830132,0.029346967582898505,cora,netkit
5,0.8485687903970452,0.010300523564593113,0.6,0.8496768236380425,0.012673950091799415,cora,netkit
6,0.8588669950738916,0.008356657241378957,0.7000000000000001,0.8479064039408867,0.024384720213254885,cora,netkit
7,0.850369003690037,0.015666368793619,0.8,0.8566420664206642,0.012784142175737869,cora,netkit
8,0.8660516605166052,0.036696855765171434,0.9,0.8881918819188191,0.023211084960325003,cora,netkit
0,0.6190476190476191,0.02892836719400667,0.1,0.5003228410008072,0.06560071454444512,imdb_all,netkit
1,0.6493647912885662,0.00921647218323686,0.2,0.502994555353902,0.06362600408739788,imdb_all,netkit
2,0.6820539419087137,0.011132337504844577,0.30000000000000004,0.5029045643153527,0.062334338605792815,imdb_all,netkit
3,0.6939467312348667,0.01368270852479799,0.4,0.5228813559322034,0.05754943636356225,imdb_all,netkit
4,0.7122093023255814,0.01440510537530861,0.5,0.5963662790697674,0.03601634824082711,imdb_all,netkit
5,0.7237749546279492,0.018245357286044084,0.6,0.7814882032667876,0.009984600622275984,imdb_all,netkit
6,0.7401937046004842,0.02781987610640464,0.7000000000000001,0.7878934624697337,0.01666622695611339,imdb_all,netkit
7,0.7447272727272727,0.019149980759400245,0.8,0.7934545454545455,0.019828465499809503,imdb_all,netkit
8,0.7326086956521739,0.0227745885339578,0.9,0.8028985507246377,0.017350999996200947,imdb_all,netkit
